dataset,knnacc,knnbac,gnbacc,gnbbac,dtcacc,dtcbac,mlpacc,mlpbac,svcacc,svcbac
balance,0.89546666666666663,0.77084490911119519,0.89973333333333338,0.76598827037142214,0.82799999999999996,0.72220213949515322,0.7533333333333333,0.64032021932943295,0.92000000000000015,0.78139904251186432
ionosphere,0.79918403660396553,0.72865060898656797,0.89032536858159639,0.8622807757024219,0.84827656329435686,0.82582975455608254,0.73079816980172851,0.63831800300663333,0.71655312658871373,0.6082625074927851
syntetic100f,0.90675000000000006,0.56069226851185738,0.92149999999999999,0.7670381797898973,0.91050000000000009,0.77989855649691486,0.92099999999999993,0.78867200876638266,0.89600000000000013,0.5
syntetic10f,0.92725000000000013,0.70858130266423025,0.91349999999999998,0.84518186743803769,0.90650000000000008,0.74261335558640207,0.92925000000000002,0.77078814132119744,0.89300000000000002,0.5
syntetic20f,0.89724999999999999,0.56954254071789689,0.90525,0.77820402696080926,0.89400000000000013,0.72664809580545686,0.88100000000000001,0.68990325816923603,0.89499999999999991,0.5
syntetic50f,0.89774999999999994,0.54005147802960196,0.91874999999999996,0.80312386251175627,0.94175000000000009,0.86087255792665029,0.89499999999999991,0.5,0.89499999999999991,0.5
syntetic5f,0.97775000000000001,0.90857038254692601,0.96225000000000005,0.94256580698065628,0.96575000000000011,0.8965991201281176,0.97550000000000003,0.91679254265630106,0.94050000000000011,0.71978904399174848
wisconsin,0.95565678507538965,0.94844998846143491,0.95136084845387159,0.95665574748682647,0.93418924099156653,0.92528347882718176,0.65665985177613084,0.5,0.95637043189368787,0.9507858322758802
yeast3,0.94575564689296798,0.81587119491541793,0.25314206371493653,0.57531114633435076,0.92385225464416687,0.80251513350420489,0.94238694158660452,0.8495443030282599,0.89016236501493451,0.5
